ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 3058	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Zaire	Manihot esculenta	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3058	11
NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Zaire	Manihot esculenta	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3059	11
NCPPB 3060	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Nigeria	Manihot esculenta	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3060	12
NCPPB 3061	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas campestris pv. cassavae	Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979	Rwanda	Manihot esculenta	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3061	12
NCPPB 3062	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas campestris pv. cassavae	Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979	Rwanda	Manihot esculenta	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3062	12
NCPPB 3066	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978; Xanthomonas translucens pv. graminis (Egli et al. 1975) Vauterin et al. 1995	UK	Lolium multiflorum cv. Italco	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3066	12
NCPPB 3078	Xanthomonas arboricola Vauterin et al. 1995		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974	Brazil	Mangifera indica	1979	No	No	Partial gene (gyrB) sequence indicates this is likely to be Xanthomonas arboricola (NCPPB Aug 2017)		https://ncppb.fera.co.uk/furtherinfo/3078	12
NCPPB 3079	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023		Xanthomonas campestris pv. paulliniae Robbs, Medieros & Kimura 1982	Brazil	Paullinia cupana	1979	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3079	12
NCPPB 3082	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023		Xanthomonas campestris pv. paulliniae Robbs, Medieros & Kimura 1982	Brazil	Paullinia cupana	1979	No	No			https://ncppb.fera.co.uk/furtherinfo/3082	12
NCPPB 3086	Xanthomonas axonopodis pv. desmodiilaxiflori (Pant & Kulkarni 1977) Vauterin et al. 1995	Xanthomonas desmodiilaxiflori Pant & Kulkarni 1977	Xanthomonas camp. pv. desmodiilaxiflori (Pant & Kulkarni 1977) Dye 1978	India	Desmodium laxiflorum	1979	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3086	12
NCPPB 3092	Xanthomonas axonopodis pv. clitoriae (Pandit & Kulkarni 1979) Vauterin et al. 1995	Xanthomonas campestris f.sp. clitoriae	Xanthomonas campestris pv. clitoriae (Pandit & Kulkarni 1979) Dye et al. 1980	India	Clitoria biflora	1979	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3092	12
NCPPB 3110	Xanthomonas citri pv. anacardii (Ah-You et al. 2007) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. anacardii Ah-You et al. 2007	Brazil	Mangifera indica	1979	No	No			https://ncppb.fera.co.uk/furtherinfo/3110	12
NCPPB 3114	Xanthomonas citri pv. merremiae (Pant & Kulkarni 1976) Harrison et al. 2023		Xanthomonas campestris pv. merremiae (Pant & Kulkarni 1976) Dye et al. 1980	India	Merremia gangetica	1980	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3114	12
NCPPB 3119	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas campestris pv. pelargoniiXanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Belgium	Pelargonium hortorum	1980	No	No			https://ncppb.fera.co.uk/furtherinfo/3119	12
NCPPB 3125	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007	Australia	Mangifera indica	1980	No	No	Partial gene (gyrB) sequence indicates this is Xanthomonas citri.		https://ncppb.fera.co.uk/furtherinfo/3125	12
NCPPB 3135	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	Brazil	Citrus reticulata	1980	No	No			https://ncppb.fera.co.uk/furtherinfo/3135	12
NCPPB 3136	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	Brazil	Citrus latifolia	1980	No	No			https://ncppb.fera.co.uk/furtherinfo/3136	12
