ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 993	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	SAMN42278571		sra_wgs_reads	SAMN42278571	SRR29692755	whole_genome_shotgun_reads		PRJNA742925	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29692755 && fasterq-dump SRR29692755 --split-files --outdir fastq/NCPPB_993	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 994	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1009	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1014	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1025	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1043	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36368321		assembly	SAMN36368321	GCA_035023025.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035023025.1 --include genome --filename NCPPB_1043_GCA_035023025.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1046	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1048	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1050	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1056	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142809		assembly	SAMN03142809	GCF_000786945.1	whole_genome_assembly	Contig	PRJNA264809	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000786945.1 --include genome --filename NCPPB_1056_GCF_000786945.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1058	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142815		assembly	SAMN03142815	GCF_000786935.1	whole_genome_assembly	Contig	PRJNA264815	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000786935.1 --include genome --filename NCPPB_1058_GCF_000786935.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1059	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511356		sra_wgs_reads	SAMN56511356	SRR37629095; SRR37789912	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629095 && fasterq-dump SRR37629095 --split-files --outdir fastq/NCPPB_1059 ; prefetch SRR37789912 && fasterq-dump SRR37789912 --split-files --outdir fastq/NCPPB_1059	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 1060	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140122		assembly	SAMN03140122	GCF_000772715.2	whole_genome_assembly	Complete Genome	PRJNA264730	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000772715.2 --include genome --filename NCPPB_1060_GCF_000772715.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN56511357; SAMN22552840		assembly	SAMN22552840	GCF_020813005.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813005.1 --include genome --filename NCPPB_1061_GCF_020813005.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1062	Xanthomonas sp. Dowson 1939	SAMN42161497		assembly	SAMN42161497	GCF_041481705.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041481705.1 --include genome --filename NCPPB_1062_GCF_041481705.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178441; SAMN26561900		assembly	SAMN42178441	GCF_053571465.1	whole_genome_assembly	Complete Genome	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571465.1 --include genome --filename NCPPB_1063_GCF_053571465.1.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1067	Xanthomonas sp. Dowson 1939	SAMN22555470		assembly	SAMN22555470	GCF_020783795.1	whole_genome_assembly	Contig	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020783795.1 --include genome --filename NCPPB_1067_GCF_020783795.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1068	Xanthomonas sp. Dowson 1939	SAMN42161498		assembly	SAMN42161498	GCF_041479385.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041479385.1 --include genome --filename NCPPB_1068_GCF_041479385.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1117	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1124	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1128	Xanthomonas sp. Dowson 1939	SAMN03777426		assembly	SAMN03777426	GCF_001043115.1	whole_genome_assembly	Contig	PRJNA287209	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001043115.1 --include genome --filename NCPPB_1128_GCF_001043115.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1129	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN56511358; SAMN00752559		assembly	SAMN56511358	GCF_056612685.1	whole_genome_assembly	Complete Genome	PRJNA1437458	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056612685.1 --include genome --filename NCPPB_1131_GCF_056612685.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN56511359; SAMN00752560		assembly	SAMN56511359	GCF_056629235.1	whole_genome_assembly	Complete Genome	PRJNA1437458	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056629235.1 --include genome --filename NCPPB_1132_GCF_056629235.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1135	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1136	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1138	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262510		assembly	SAMN03262510	GCF_000808735.2	whole_genome_assembly	Contig	PRJNA270012	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000808735.2 --include genome --filename NCPPB_1138_GCF_000808735.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1141	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1143	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1144	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN43286083		assembly	SAMN43286083	GCF_041521255.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041521255.1 --include genome --filename NCPPB_1144_GCF_041521255.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1145	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1146	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1147	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1148	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1149	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1150	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1151	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1152	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1153	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1154	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1155	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	SAMN56511360		sra_wgs_reads	SAMN56511360	SRR37629065; SRR37789882	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629065 && fasterq-dump SRR37629065 --split-files --outdir fastq/NCPPB_1155 ; prefetch SRR37789882 && fasterq-dump SRR37789882 --split-files --outdir fastq/NCPPB_1155	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142401		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMN01090336		assembly	SAMN01090336	GCF_000266285.1	whole_genome_assembly	Contig	PRJNA163795	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000266285.1 --include genome --filename NCPPB_1159_GCF_000266285.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1160	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1161	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1235	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1241	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140147		assembly	SAMN03140147	GCF_000772695.1	whole_genome_assembly	Scaffold	PRJNA264614	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000772695.1 --include genome --filename NCPPB_1241_GCF_000772695.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1244	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1324	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178442		assembly	SAMN42178442	GCF_053571505.1	whole_genome_assembly	Contig	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571505.1 --include genome --filename NCPPB_1324_GCF_053571505.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1325	Xanthomonas sp. Dowson 1939	SAMN42161499		assembly	SAMN42161499	GCF_041477645.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041477645.1 --include genome --filename NCPPB_1325_GCF_041477645.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701288; SAMN36357974; SAMN02471728; SAMN00991247		assembly	SAMN02471728	GCF_000277995.1	whole_genome_assembly	Scaffold	PRJNA73853	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277995.1 --include genome --filename NCPPB_1326_GCF_000277995.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1332	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1336	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	SAMN19988971		assembly	SAMN19988971	GCF_019193005.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019193005.1 --include genome --filename NCPPB_1336_GCF_019193005.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN56511361; SAMN42278572		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1381	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701289; SAMN36357975; SAMN00991255		assembly	SAMN00991255	GCF_000278015.1	whole_genome_assembly	Scaffold	PRJNA73869	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000278015.1 --include genome --filename NCPPB_1381_GCF_000278015.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1393	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1394	Xanthomonas vasicola Vauterin et al. 1995	SAMN03145753; SAMN03140149		assembly	SAMN03145753	GCF_000774005.1	whole_genome_assembly	Scaffold	PRJNA265156	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000774005.1 --include genome --filename NCPPB_1394_GCF_000774005.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
